text,label
"Breaking: Government launches new education policy for students",1
"Scientists discover new species in Amazon rainforest",1
"Shocking! Celebrity reveals secret alien meeting",0
"You won't believe what this politician said yesterday!",0
"Stock markets rise after positive economic data",1
"Miracle cure for all diseases found in one fruit!",0
"New technology improves renewable energy efficiency",1
"Click here to win a free iPhone now!!!",0
"Researchers develop vaccine for rare disease",1
"Fake news spreading about ghost sightings in city",0
